Date,Time,Labels,Text (Click to drill to Message Detail),# of Messages,Twitter Engagement,Clicks,Twitter Replies,Twitter Likes,Twitter Retweets,Twitter Retweet Audience
9/4/2015,10:52 AM,Jobs Report,"""While Fed could find reasons to delay raising rates…we believe that it will not find one in this #jobsreport."" Chief Econ. @D2_Duncan",1,11,,0,4,7,3863
9/4/2015,1:13 PM,Multifamily,#Multifamily fundamentals reflect steady rental demand http://housingindustryforum.com/content/multifamily-fundamentals-reflect-steady-rental-demand#.VeWjcfn4-Cc,1,23,18,0,3,2,1523
9/4/2015,4:48 PM,​,"Fannie Mae revamps mortgage product ""to better accommodate today's financial and familial realities"": http://www.nytimes.com/2015/09/06/realestate/fannie-mae-revamps-mortgage-program.html?_r=0 via @nytimes",1,118,91,2,9,16,2750
9/8/2015,6:30 AM,positioning and reputation,"In a few min., tune into @SquawkCNBC where our Chief Econ. @D2_Duncan will discuss housing, economy + new Home Purchase Sentiment Index.",1,10,,1,4,5,3760
9/8/2015,8:33 AM,HPSI,NEW: The Fannie Mae Home Purchase Sentiment Index tracks consumers' home purchase sentiment: http://www.fanniemae.com/portal/about-us/media/corporate-news/2015/6290.html,1,58,39,0,5,14,6155
9/8/2015,11:01 AM,HPSI,"HPSI joins leading indicators in measuring consumer attitudes, but w/ a housing focus: http://www.fanniemae.com/portal/about-us/media/corporate-news/2015/6290.html",1,29,21,0,1,7,3034
9/8/2015,4:21 PM,positioning and reputation,"Included in our 34K loan workouts in Q2 2015 are 26,000 loan modifications. http://fanniemae.com/progress/leading.html",1,16,13,0,0,3,9628
9/8/2015,6:27 PM,HPSI,ICYMI: Fannie Mae introduces the Home Purchase Sentiment Index - https://www.youtube.com/watch?v=qwhteWT_5lg,1,50,35,0,5,10,27655
9/9/2015,7:41 AM,The Home Story,Need to make a last-minute move? These 4 tips can help make the process more manageable. http://www.thehomestory.com/4-last-minute-tips-for-last-minute-movers/,1,25,16,0,2,7,4557
9/9/2015,10:02 AM,HPSI,"We distill data from 6 National Housing Survey Qs into 1 leading indicator, the Home Purchase Sentiment Index (HPSI) http://www.fanniemae.com/portal/about-us/media/corporate-news/2015/6290.html",1,11,11,0,0,0,0
9/9/2015,1:00 PM,HPSI,"Two Home Purchase Sentiment Index components improved in August, though overall Index slips from previous month: http://fanniemaeblog.tumblr.com/post/128705794502/weve-launched-the-home-purchase-sentiment",1,15,13,0,0,2,2839
9/9/2015,7:24 PM,positioning and reputation,.@D2_Duncan talked recent trends' impact on his 2015 housing outlook w/ @Glink. Catch the interview here:  https://youtu.be/e3izgRjcfwE,1,39,26,1,5,7,19220
9/10/2015,9:15 AM,Multifamily,Seniors' #multifamily housing is a growing part of our biz. Our Chris Honn tells @scotsmanguideED why: http://www.scotsmanguide.com/Commercial/Articles/2015/09/Q-A--Chris-Honn--Fannie-Mae/,1,20,15,0,2,3,2386
9/10/2015,10:19 AM,positioning and reputation,@IdahoHousing @MKTWgoldstein @4590leads @massrealty @maplesrealty @BlanchardNJHome @thehawaiiguy @mabsguzman Appreciate your RTs!,1,4,,0,4,0,0
9/10/2015,2:50 PM,The Home Story,Flood insurance is often misunderstood. Here are 3 flood insurance misconceptions renters + homeowners often make. http://www.thehomestory.com/3-common-misconceptions-about-flood-insurance/,1,38,28,0,5,5,1458
9/10/2015,8:25 PM,positioning and reputation,You can now view our Econ. + Strategic Research Group's work by topic. Follow along: http://fanniemaeblog.tumblr.com/ #economics #housing,1,21,13,5,2,1,2493
9/11/2015,8:22 AM,Access to Credit,This @nytimes article explains how our HomeReady mortgage can benefit borrowers who share homes w/ extended family: http://www.nytimes.com/2015/09/06/realestate/fannie-mae-revamps-mortgage-program.html?_r=0,1,41,29,1,1,10,5574
9/11/2015,11:29 AM,positioning and reputation,Will Sep. Fed rate hike neg. impact #housing? @D2_Duncan gives @michaelsantoli his thoughts: http://news.yahoo.com/fed-s-decision-won-t-rile-the-housing-market--fannie-mae-economist-183355079.html,1,24,21,0,1,2,58
9/11/2015,4:25 PM,positioning and reputation,"Our Chief Econ. @D2_Duncan + @Glink chatted about housing starts, China, and more in this in-depth interview:  https://youtu.be/e3izgRjcfwEur",1,22,19,0,1,2,14418
9/12/2015,10:06 AM,positioning and reputation,We're helping fund America's housing market. Here's what we accomplished in Q2 2015: http://fanniemae.com/progress/leading.html,1,55,28,16,3,8,1936
9/13/2015,11:17 AM,"Mobile, The Home Story",HOME by Fannie Mae is here! Download our new #mobileapp for resources to help w/ homebuying: www.knowyouroptions.com/homeapp,1,81,60,0,7,14,58749
9/13/2015,7:35 PM,Access to Credit,HomeReady's a mortgage product for helping creditworthy borrowers. Learn more here: https://www.fanniemae.com/singlefamily/homeready,1,52,37,0,6,9,9840
9/14/2015,9:07 AM,The Home Story,"3 common misconceptions about flood insurance you should know, whether you rent or own: http://www.thehomestory.com/3-common-misconceptions-about-flood-insurance/",1,125,87,1,11,26,58515
9/14/2015,9:59 AM,positioning and reputation,@HUDSouthwest @ByronBankIL @KazinSD @sporterfcv @KristinHowlett1 @kytnauction @TxFireTech @RealtorLiz @ARoseInJax Thx for retweeting!,1,1,,0,1,0,0
9/14/2015,4:13 PM,positioning and reputation,Stay on top of the latest research + analysis by subscribing to our new #housing + #economics research blog: http://fanniemaeblog.tumblr.com/,1,26,18,0,2,6,998
9/15/2015,10:02 AM,positioning and reputation,@HUDSoutheast @BitterCreekTitl @lonniejr22 @CharletShriner1 @HoustonHCDD @alliancela @BinTechPartners @SFCDC Appreciate your RTs!,1,6,,2,3,1,400
9/15/2015,7:42 PM,positioning and reputation,"In Q2 2015, we enabled 229K single-family home purchases. How else did we help fund America's housing market? http://fanniemae.com/progress/leading.html",1,14,11,1,1,1,49
9/16/2015,9:13 AM,Economic & Housing Outlook,"Despite recent volatility, @D2_Duncan expects modest econ. growth in 2nd half of '15. Sep. Econ. + Housing Outlook: http://www.fanniemae.com/portal/about-us/media/financial-news/2015/6292.html",1,14,8,0,1,5,3727
9/16/2015,11:28 AM,Access to Credit,".@Marketplace's @noeleking covers our HomeReady mortgage, a product for low- to moderate-income households: http://www.marketplace.org/topics/wealth-poverty/all-family-new-mortgage-math",1,22,16,0,3,3,8274
9/16/2015,1:19 PM,positioning and reputation,@CaryMortgageGuy @Realtor_Bryant @ReboGateway @WWeirRelocation @MiltSharpJr @NaplesA1Realtor @LuisARealtor @chadmcdowell Thx for the RTs!,1,3,,1,2,0,0
9/16/2015,1:51 PM,positioning and reputation,"We'll soon be tweeting highlights from our Social Business Summit, focused on using social media in business. Follow along @ #FMsocialbiz15.",1,8,,0,5,3,11805
9/16/2015,2:38 PM,positioning and reputation,.@j1berger: Giving ppl useful industry info can encourage them to share your message. #FMsocialbiz15,1,3,,0,0,3,4852
9/16/2015,2:44 PM,positioning and reputation,People share stories. Wrap facts + figures into a story to encourage people to carry your message. - @j1berger #FMsocialbiz15,1,6,,0,3,3,10412
9/16/2015,3:14 PM,positioning and reputation,.@WellsFargo's @CPulleyWF on their social media strategy: We focus more on stories and people. #FMsocialbiz15,1,6,,0,3,3,640
9/16/2015,3:29 PM,positioning and reputation,".@WellsFargo's @ChrisHammondWF: Whether or not we participate in conversations on social, the conversations still happen. #FMsocialbiz15",1,5,,1,2,2,633
9/16/2015,3:39 PM,positioning and reputation,.@WellsFargo's @CPulleyWF: Aligning your content w/ your mission + values makes your content authentic. #FMsocialbiz15,1,11,,0,6,5,9379
9/16/2015,3:58 PM,positioning and reputation,"Big thanks to @JasonVasquezWF, @ChrisHammondWF, @j1berger + @CPulleyWF for participating in today's #FMsocialbiz15!",1,7,,0,6,1,19380
9/16/2015,7:46 PM,Economic & Housing Outlook,Consumer spending + jobs just some of the data indicating econ. growth in H2'15. http://www.fanniemae.com/portal/about-us/media/financial-news/2015/6292.html,1,6,4,0,0,2,373
9/17/2015,11:49 AM,Mortgage Lender Sentiment Survey,Mortgage lenders more optimistic about economy than general consumers. Our Q3 MLSS: http://www.fanniemae.com/portal/research-and-analysis/mortgage-lender-survey.html,1,42,27,1,2,12,42041
9/17/2015,4:33 PM,positioning and reputation,Here is @D2_Duncan's full comment on today's #FOMC statement from @federalreserve: http://fanniemaeblog.tumblr.com/post/129300739942/the-fomc-statement-citing-a-new-consideration-to,1,20,10,0,3,7,4156
9/17/2015,6:53 PM,Economic & Housing Outlook,"After reviewing recent data, @D2_Duncan still expects modest econ. growth in second half of '15. Find out why: http://www.fanniemae.com/portal/about-us/media/financial-news/2015/6292.html",1,11,9,0,0,2,172
9/18/2015,9:36 AM,positioning and reputation,Refinancings delivered thru Refi Plus in Q2 '15 reduced borrowers' mo. mortg. payments by an avg. of $183.,1,8,,1,1,6,38546
9/18/2015,12:43 PM,positioning and reputation,@AbeSocialMedia @MrRodWilson @PaulTurnerWF @SGrantWF @OFantozziWF @jnummer1 @EightyNine10 @dasHausLA @CarrieBlueLO Appreciate your RTs!,1,5,,0,5,0,0
9/18/2015,4:54 PM,Mortgage Lender Sentiment Survey,"Amid ongoing credit availability debate, lenders report easing of mortgage lending standards in our Q3 MLSS: http://www.fanniemae.com/portal/research-and-analysis/mortgage-lender-survey.html",1,28,21,1,1,5,1146
9/19/2015,10:22 AM,Economic & Housing Outlook,ICYMI: @D2_Duncan's Sep. Econ. + Housing Outlook is out. What does he expect for the rest of this year? http://www.fanniemae.com/portal/about-us/media/financial-news/2015/6292.html,1,41,26,2,3,10,38231
9/20/2015,11:15 AM,"Housing Recovery Solutions, Mobile",Ready to buy your first home? The HOME by Fannie Mae #mobileapp can help. Available on iPhone and Android: www.knowyouroptions.com/homeapp,1,36,23,0,5,8,52080
9/20/2015,6:25 PM,positioning and reputation,You can now view our Econ. + Strategic Research Group's work by topic. Follow along: http://fanniemaeblog.tumblr.com/ #economics #housing,1,24,19,0,3,2,672
9/21/2015,9:26 AM,Mortgage Lender Sentiment Survey,"Lending standards ease for all mortgage types, according to lenders surveyed in Q3 MLSS: http://www.fanniemae.com/portal/research-and-analysis/mortgage-lender-survey.html",1,69,42,2,7,18,38953
9/21/2015,2:14 PM,The Home Story,#ReadySetHome: A housing industry insider's journey to buying a first home. http://www.thehomestory.com/road-to-homeownership-realizing-i-wanted-to-own-a-home-someday/ #homebuying,1,33,25,0,3,5,1668
9/22/2015,8:34 AM,business support,Last wk our John Kennedy spoke @ #FCS15 about our cust. service approach. http://themreport.com/news/data/09-18-2015/servicers-must-ensure-compliance-under-regulatory-spotlight Via @TheMReportNews,1,14,10,0,2,2,476
9/22/2015,11:15 AM,positioning and reputation,@pat_clark @LisaWambles @aman2258 @KevinSavoie @HomeListerApp @PaulPsian @DrAlanaSmith @NeighborWorksVT @KevinismyBroker Thx for retweeting!,1,4,,0,4,0,0
9/22/2015,11:37 AM,Multifamily,".@ChrissaPagitsas, Director of our #Multifamily #Green Initiative, talks about our green multifamily options. https://t.co/lD0skBs0yB",1,8,,0,2,6,0
9/22/2015,6:38 PM,Multifamily,Not all Millennials live where you think they do. @Kim_Betancourt delivers our Sept. #Multifamily Market Commentary: https://youtu.be/376WYXnNZIY,1,27,19,2,2,4,33555
9/23/2015,11:11 AM,business support,"We've become a tech-focused company in order to provide mortgage access, reduce risk + more: http://fanniemae.com/portal/about-us/media/commentary/092215-lee.html",1,28,20,0,4,4,678
9/23/2015,5:43 PM,The Home Story,#ReadySetHome: A lot's changed in 10 yrs. Find out what it can take to buy a home in today's economy: http://www.thehomestory.com/road-to-homeownership-realizing-i-wanted-to-own-a-home-someday/,1,25,21,0,0,4,503
9/23/2015,8:23 PM,Multifamily,Our @ChrissaPagitsas talks about our work in the #green #multifamily space w/ @nreionline: http://nreionline.com/multifamily/more-loans-available-green-multifamily,1,32,23,0,3,6,4456
9/24/2015,9:08 AM,Multifamily,What's impacting where Millennials live? Find out in this overview of our Sept. #Multifamily Market Commentary: https://youtu.be/376WYXnNZIY,1,53,39,0,6,8,2673
9/24/2015,11:25 AM,positioning and reputation,"Announcement: We've completed our latest credit risk sharing transaction, again attracting an international reinsurer http://fanniemae.com/portal/about-us/media/financial-news/2015/6294.html",1,33,21,0,6,6,1908
9/24/2015,1:21 PM,Access to Credit,Here's a lending option aimed at helping creditworthy borrowers w/ lower + moderate incomes: https://www.fanniemae.com/singlefamily/homeready,1,35,24,1,2,8,2033
9/24/2015,1:46 PM,positioning and reputation,@CRELev @HomesWithFrank @NHSBedStuy @atchutneelam @derek_templeton @AmyLindahlMBA @jenmj120 @VariantLending Appreciate your RTs!,1,0,,0,0,0,0
9/24/2015,7:28 PM,business support,"Bruce Lee, our CIO, covers the ways in which we're using technology to better accomplish our goals: http://fanniemae.com/portal/about-us/media/commentary/092215-lee.html",1,28,24,1,1,2,304
9/25/2015,8:50 AM,The Home Story,Local housing finance agencies can help people like Keosha become first-time homebuyers. http://www.thehomestory.com/road-to-homeownership-realizing-i-wanted-to-own-a-home-someday/ #ReadySetHome,1,24,15,0,5,4,2158
9/25/2015,1:31 PM,positioning and reputation,"We've completed our latest Credit Insurance Risk Transfer, further reducing taxpayer risk. http://fanniemae.com/portal/about-us/media/financial-news/2015/6294.html",1,102,64,0,19,19,19371
9/25/2015,5:41 PM,positioning and reputation,Included in our 34K loan workouts in Q2 2015 are 26K loan modifications. http://fanniemae.com/progress/leading.html,1,20,13,2,1,4,3423
9/26/2015,11:34 AM,business support,Last wk our John Kennedy spoke @ #FCS15 about our cust. service approach. http://themreport.com/news/data/09-18-2015/servicers-must-ensure-compliance-under-regulatory-spotlight Via @TheMReportNews,1,30,16,1,6,7,14901
9/27/2015,9:46 AM,Mortgage Lender Sentiment Survey,Lenders surveyed are more optimistic about the economy than general consumers. http://fanniemaeblog.tumblr.com/post/129571840610/lenders-we-surveyed-are-more-optimistic-about-the,1,22,15,0,1,6,1900
9/27/2015,6:32 PM,The Home Story,A Millennial and housing finance industry insider's story on becoming a 1st-time homebuyer: http://www.thehomestory.com/road-to-homeownership-realizing-i-wanted-to-own-a-home-someday/ #ReadySetHome,1,54,34,1,3,16,38117
9/28/2015,9:54 AM,The Home Story,Find out how Olympic gold medalist + @LouganisDoc star @greglouganis fought off foreclosure: http://www.thehomestory.com/how-greg-louganis-bounced-back-from-near-foreclosure/,1,129,110,0,9,10,45686
9/28/2015,12:58 PM,positioning and reputation,@AmeritrainEdu @KnightRealtors @GabeJr1stTeam @krissymom2 @MaesRealtor @HartmanDG @Naeisrealtor @TRthomcat @mikeaubrey Thx for the RTs!,1,1,,0,0,1,376
9/28/2015,3:14 PM,Economic & Housing Outlook,"From our Sept. Econ. + Housing Outlook, the Fed's funds target rate alongside unemployment: http://fanniemaeblog.tumblr.com/post/129360136853/the-august-unemployment-rate-was-half-a",1,38,20,1,3,14,71266
9/29/2015,8:36 AM,The Home Story,Is your home disaster-proof? Here's an infographic w/ tips for preparing your home for a natural disaster: http://www.thehomestory.com/is-your-home-disaster-proof/,1,22,14,0,3,5,2221
9/29/2015,10:03 AM,positioning and reputation,@greglouganis @2ndChance4AHome @RealtySeattleWA @SPoolLO @JoeEde @wendybruce92 @MllyGoodman @JaimieSell @MesaMan137 Appreciate the RTs!,1,3,,0,3,0,0
9/29/2015,11:56 AM,positioning and reputation,"Our EVP, Andrew Bon Salle, covers our role as leading manager of single-fam. residential credit risk in the industry. http://fanniemae.com/portal/about-us/media/commentary/092915-bonsalle.html",1,27,19,1,4,3,898
9/29/2015,1:08 PM,positioning and reputation,"Our Chief Economist, @D2_Duncan, weighs in on this morning's #CaseShiller Home Price Index release.",1,6,,1,0,5,35059
9/29/2015,7:39 PM,The Home Story,"This 1st-time homebuyer benefitted from @DCOpenDoors, a reminder many areas have local programs helping homebuyers. http://www.thehomestory.com/road-to-homeownership-city-living-and-the-housing-finance-agency/",1,28,20,0,4,4,756
9/30/2015,11:42 AM,positioning and reputation,@4closureNation2 @i8wamu @Maine_Property @417HomeLoans @shanevanderson @1kWattsRealtor @Hydepark_Homes @jdbwrs15 Thx for retweeting!,1,1,,1,0,0,0
9/30/2015,2:28 PM,positioning and reputation,"We're sharing more info on how we, the industry leader, manage single-family credit risk: http://fanniemae.com/portal/about-us/media/commentary/092915-bonsalle.html",1,18,16,0,0,2,2400
9/30/2015,9:25 PM,positioning and reputation,You can now view our Econ. + Strategic Research Group's work by topic. Follow along: http://fanniemaeblog.tumblr.com/ #economics #housing,1,11,6,0,2,3,38600
10/1/2015,10:06 AM,The Home Story,Here's a new homeowner's story of working w/ a local program to go from renter to home owner: http://www.thehomestory.com/road-to-homeownership-city-living-and-the-housing-finance-agency/,1,32,22,0,4,6,34596
10/1/2015,4:35 PM,positioning and reputation,We've played a role in avoiding 63K foreclosures in Q2 this year and 3.5M since '08. @DSNewsDaily has the story: http://dsnews.com/news/09-28-2015/fannie-maes-and-freddie-macs-increased-loss-mitigation-efforts-pay-dividends,1,18,7,2,2,7,5888
10/2/2015,11:25 AM,Jobs Report,.@D2_Duncan comments on today's Sept. #JobsReport. View his full comment here: http://fanniemaeblog.tumblr.com/post/130337585092/the-september-jobs-report-was-full-of-downside,1,20,12,0,0,8,6469
10/2/2015,1:53 PM,The Home Story,It's increasingly difficult to protect your home's privacy. Here are five tips that may help: http://www.thehomestory.com/5-smart-ways-to-protect-your-homes-privacy/,1,43,31,2,3,7,6739
10/3/2015,9:55 AM,The Home Story,"Like many Americans in recent years, Olympic gold medalist @greglouganis faced foreclosure. Here is his story: http://www.thehomestory.com/how-greg-louganis-bounced-back-from-near-foreclosure/",1,73,69,0,3,1,33594
10/4/2015,11:33 AM,positioning and reputation,"Did you know we're on Facebook and LinkedIn, too? Here's how to connect w/ us: http://fanniemae.com/portal/stay-connected.html",1,16,15,0,0,1,0
10/5/2015,10:19 AM,The Home Story,Can a housing counselor help you become a home owner? This first-time homebuyer shares her experience. http://www.thehomestory.com/getting-tips-from-the-pros/,1,28,21,0,2,5,1726
10/5/2015,3:13 PM,positioning and reputation,Stay on top of the latest research + analysis by subscribing to our new #housing + #economics research blog: http://fanniemaeblog.tumblr.com/,1,13,12,0,0,1,533
10/5/2015,7:17 PM,The Home Story,Get tips for preparing your home for a natural disaster in this interactive infographic: http://www.thehomestory.com/is-your-home-disaster-proof/,1,33,22,0,4,7,41393
10/6/2015,9:01 AM,The Home Story,Want to protect your home's privacy? Here are five ways you can help keep your private moments private: http://www.thehomestory.com/5-smart-ways-to-protect-your-homes-privacy/,1,19,14,0,2,3,36026
10/6/2015,9:40 AM,positioning and reputation,"Prof. James Wilcox, who helped create our Home Purchase Sentiment Index, goes on @BloombergRadio shortly. Tune in: http://www.bloomberg.com/radio/",1,16,12,1,2,1,33715
10/6/2015,10:41 AM,positioning and reputation,"We're reminding servicers, borrowers of mortgage payment options available to homeowners affected by S.C. flooding. http://fanniemae.com/portal/about-us/media/corporate-news/2015/6296.html",1,33,22,0,5,6,83887
10/6/2015,1:22 PM,positioning and reputation,@MHA4You @realestatebudy @jtalapin @Mymimicakes @DanRivisto @ErikaBRealtor @JaneColletti @HCSINC @CorianneScally Appreciate your RTs!,1,1,,0,1,0,0
10/6/2015,5:38 PM,positioning and reputation,"Job seekers, connect with us on LinkedIn to catch hiring alerts, networking tips, and company news: https://www.linkedin.com/company/fannie-mae-corporation_19722",1,22,18,0,2,2,5013
10/7/2015,9:15 AM,HPSI,Home Purchase Sentiment Index up 3 points in Sept. Consumer confidence in housing increases. http://fanniemae.com/portal/about-us/media/corporate-news/2015/6297.html,1,41,27,0,2,12,6053
10/7/2015,1:49 PM,The Home Story,A 1st-time homebuyer shares what you can expect when meeting w/ a housing counselor: http://www.thehomestory.com/getting-tips-from-the-pros/,1,33,22,0,2,9,3906
10/7/2015,4:06 PM,positioning and reputation,We've updated our repurchase practices to provide more certainty to lenders and to help expand mort. credit access. http://fanniemae.com/portal/about-us/media/corporate-news/2015/6298.html,1,34,26,1,0,7,3653
10/7/2015,8:19 PM,HPSI,"The Home Purchase Sentiment Index bounced back in Sept., led by jump in consumers saying now's a good time to sell. http://fanniemae.com/portal/about-us/media/corporate-news/2015/6297.html",1,17,11,0,1,5,1489
10/8/2015,8:36 AM,positioning and reputation,Have you checked out our YouTube channel yet? Here's a quick look: http://youtube.com/FannieMaeWeb,1,15,11,0,1,3,477
10/8/2015,2:42 PM,HPSI,"Consumer confidence in housing increased in Sept., the Home Purchase Sentiment Index finds. http://fanniemae.com/portal/about-us/media/corporate-news/2015/6297.html",1,44,30,0,3,11,3289
10/9/2015,1:23 PM,positioning and reputation,Latest non-performing loans sale continues our efforts to help borrowers avoid foreclosure: http://fanniemae.com/portal/about-us/media/financial-news/2015/6300.html,1,61,51,0,2,8,10091
10/9/2015,3:14 PM,positioning and reputation,.@MassHousing's Gleason: Affordable lending is a good business decision. http://housingindustryforum.com/content/industry-voice-affordable-lending-good-business-decision#.Vhe1OPn48gs  https://youtu.be/K0O1DHhxuik,1,8,6,0,0,2,200
10/9/2015,4:07 PM,positioning and reputation,@KCHBA @DanCas2 @Payne_Realtors @chrissadaloo @HOMEteamNH @ngarealestate @RyanRhodenhiser @AOKellum @mikeclovergroup Thx for the RTs!,1,0,,0,0,0,0
10/10/2015,9:35 AM,HPSI,Fannie Mae's Home Purchase Sentiment Index nears a record high as consumers feel better about housing activity. http://fanniemae.com/portal/about-us/media/corporate-news/2015/6297.html,1,104,81,1,4,18,54144
10/11/2015,10:51 AM,positioning and reputation,"Did you know we're on Facebook and LinkedIn, too? Here's how to connect w/ us: http://fanniemae.com/portal/stay-connected.html",1,46,44,0,2,0,685
10/11/2015,8:35 PM,positioning and reputation,.@MassHousing's Gleason talks about HFAs partnering with us to help homebuyers. http://housingindustryforum.com/content/industry-voice-affordable-lending-good-business-decision#.Vhe1OPn48gs https://youtu.be/K0O1DHhxuik,1,14,12,0,0,2,2449
10/12/2015,4:31 PM,Housing Recovery Solutions,Four components of Fannie Mae's Home Purchase Sentiment Index (HPSI) improved in Sept: http://fanniemaeblog.tumblr.com/post/131019209752/four-components-of-fannie-maes-home-purchase,1,39,27,0,3,9,7737
10/13/2015,10:33 AM,Organization,We're humbled to be included in @blackenterprise's 40 Best Companies for Diversity list. http://www.blackenterprise.com/lists/40-best-companies-for-diversity-2015/,1,33,17,1,7,8,14609
10/13/2015,12:12 PM,positioning and reputation,Congrats to @BerkeleyHaas' James Wilcox on winning @business_econ's 2015 Mennis Award for his work on our HPSI: http://fanniemae.com/resources/file/research/housingsurvey/pdf/hpsi-whitepaper.pdf,1,27,23,0,2,2,3161
10/13/2015,7:47 PM,Mobile,.@LearnVest includes HOME by Fannie Mae app in list of homebuyer apps. http://www.learnvest.com/2015/09/best-home-buying-apps/ Download today: http://www.knowyouroptions.com/homeapp/,1,11,11,0,0,0,0
10/14/2015,1:28 PM,HomeReady,.@PittsburghPG covers how our HomeReady mortgage can help low/mod.-income homebuyers: http://www.post-gazette.com/business/money/2015/10/14/New-rules-to-help-lower-and-moderate-income-applicants-qualify-for-mortgages/stories/201510140027,1,68,48,0,9,11,9839
10/14/2015,6:26 PM,The Home Story,Choosing a lender is a big part of home buying. Here's how one 1st-time hombuyer did it. http://www.thehomestory.com/how-i-chose-my-lender/,1,69,47,1,5,16,91724
10/15/2015,8:47 AM,Mobile,You can navigate homebuying stumbling blocks w/ HOME by Fannie Mae: http://www.learnvest.com/2015/09/best-home-buying-apps/ Get the app here: http://www.knowyouroptions.com/homeapp/.,1,12,8,0,3,1,913
10/15/2015,12:05 PM,positioning and reputation,@business_econ @MassHousing @genekeys9 @stevekleber @PittandFrank @srogersrealtor @Howell_Homes @PhillyBricks Appreciate your RTs.,1,4,,0,4,0,0
10/15/2015,4:25 PM,business support,Listening is an important part of our relationships with lenders.  http://housingindustryforum.com/content/why-relationships-and-listening-matter-interview-jennifer-whip#.Vh5Xxvn4-Cc,1,20,11,0,5,4,4063
10/16/2015,9:17 AM,Economic & Housing Outlook,.@D2_Duncan and team expects Q4 economic growth to withstand ongoing headwinds. Our Oct. Econ. + Housing Outlook: http://fanniemae.com/portal/about-us/media/financial-news/2015/6303.html,1,11,9,0,0,2,46
10/16/2015,12:09 PM,Economic & Housing Outlook,Econ. growth expected in Q4 despite potential hurdles. Our Oct. Econ. + Housing Outlook: http://fanniemae.com/portal/about-us/media/financial-news/2015/6303.html,1,22,16,0,0,6,385
10/16/2015,3:19 PM,positioning and reputation,"What makes up our Home Purchase Sentiment Index? @BerkeleyHaas Prof. James Wilcox, who helped create HPSI, explains: http://fanniemae.com/resources/file/research/housingsurvey/pdf/hpsi-whitepaper.pdf",1,9,7,0,0,2,71
10/17/2015,9:17 AM,positioning and reputation,We're proud of @D2_Duncan and his team on winning @business_econ's 2014-2015 Outlook Award. http://www.nabe.com/publib/otlkawd,1,57,44,0,5,8,4215
10/18/2015,12:18 PM,Mobile,HOME by Fannie Mae app makes @LearnVest's list of apps for homebuyers: http://www.learnvest.com/2015/09/best-home-buying-apps/ Get the app: http://www.knowyouroptions.com/homeapp/,1,24,18,0,3,3,34729
10/18/2015,7:15 PM,Economic & Housing Outlook,What does recent economic data suggest for the rest of '15? @D2_Duncan comments in our Oct. Econ. + Housing Outlook: http://fanniemae.com/portal/about-us/media/financial-news/2015/6303.html,1,22,16,0,3,3,1437
10/19/2015,8:53 AM,The Home Story,This tool can help you determine the documents you need when applying for a mortgage: http://www.thehomestory.com/which-documents-will-you-need-when-apply-for-a-loan/,1,93,72,0,4,17,9187
10/19/2015,9:34 AM,MBA Annual,Today we're announcing a series of innovations to help lenders and borrowers: http://fanniemae.com/portal/about-us/media/corporate-news/2015/6305.html #MBAAnnual15,1,149,103,1,21,24,44359
10/19/2015,11:30 AM,positioning and reputation,@RealtyTrac @grandted212 @StCasimirsBank @YTownRealtor @technorealtor @TransUnion_News @LoriaRealty @c21mmil @NHBirdDog Thx for the RTs!,1,2,,0,1,1,110
10/19/2015,1:02 PM,"HomeReady, MBA Annual",We plan to lead the way on affordable mortgage options. Recently we announced HomeReady: https://www.fanniemae.com/singlefamily/homeready #MBAAnnual15,1,44,29,0,4,11,10128
10/19/2015,1:16 PM,​,"Not at #MBAAnnual15? We'll be live tweeting our CEO, Tim Mayopoulos', comments starting around 11:45 a.m. PST today. https://t.co/EsxBQG4tp2",1,13,,0,6,7,4194
10/19/2015,1:42 PM,Multifamily,Our Q3 #multifamily MBS results are in. Get the highlights here: http://fanniemae.com/portal/about-us/media/financial-news/2015/6304.html,1,27,17,0,4,6,15738
10/19/2015,2:54 PM,MBA Annual,Soon we'll be live tweeting our CEO Tim Mayopoulos' comments @ #MBAAnnual15.,1,2,,0,0,2,519
10/19/2015,2:55 PM,MBA Annual,"We're focusing on 3 main areas: Continuing to improve front end tools/data, expanding credit access, laying off credit risk. #MBAAnnual15",1,7,,0,1,6,21061
10/19/2015,2:56 PM,MBA Annual,"Working w/ our lender partners, we're fundamentally changing how mortgage origination happens in this country. #MBAAnnual15",1,5,,0,0,5,1895
10/19/2015,2:57 PM,MBA Annual,Next month we'll introduce Fannie Mae Connect. Learn more about Fannie Mae connect: http://fanniemae.com/portal/about-us/media/corporate-news/2015/6305.html #MBAAnnual15,1,24,21,0,2,1,347
10/19/2015,2:57 PM,MBA Annual,Changes we're making are helping drive changes in expanding access to credit for qualified borrowers. #MBAAnnual15,1,3,,0,0,3,2488
10/19/2015,2:59 PM,MBA Annual,The actions we've taken are driving further changes to our business. #MBAAnnual15,1,4,,0,3,1,721
10/19/2015,3:00 PM,MBA Annual,"We're developing dynamic credit risk management capabilities, attracting more global capital to invest in U.S. mortgage credit. #MBAAnnual15",1,7,,0,4,3,1587
10/19/2015,3:01 PM,MBA Annual,"These changes are not the end of the journey, but a sig. shift toward a more reliable, sustainable business model. #MBAAnnual15",1,20,,1,10,9,15881
